Date,Open,High,Low,Close
03/13/2024,"5,173.49","5,179.14","5,151.88","5,165.31"
03/12/2024,"5,134.30","5,179.87","5,114.48","5,175.27"
03/11/2024,"5,111.96","5,124.66","5,091.14","5,117.94"
03/08/2024,"5,164.46","5,189.26","5,117.50","5,123.69"
03/07/2024,"5,132.38","5,165.62","5,128.21","5,157.36"
03/06/2024,"5,108.03","5,127.97","5,092.22","5,104.76"
03/05/2024,"5,110.52","5,114.54","5,056.82","5,078.65"
03/04/2024,"5,130.99","5,149.67","5,127.18","5,130.95"
03/01/2024,"5,098.51","5,140.33","5,094.16","5,137.08"
02/29/2024,"5,085.36","5,104.99","5,061.89","5,096.27"
02/28/2024,"5,067.20","5,077.37","5,058.35","5,069.76"
02/27/2024,"5,074.60","5,080.69","5,057.29","5,078.18"
02/26/2024,"5,093.00","5,097.66","5,068.91","5,069.53"
02/23/2024,"5,100.92","5,111.06","5,081.46","5,088.80"
02/22/2024,"5,038.83","5,094.39","5,038.83","5,087.03"
02/21/2024,"4,963.03","4,983.21","4,946.00","4,981.80"
02/20/2024,"4,989.32","4,993.71","4,955.02","4,975.51"
02/16/2024,"5,031.13","5,038.70","4,999.52","5,005.57"
02/15/2024,"5,003.14","5,032.72","4,999.44","5,029.73"
02/14/2024,"4,976.44","5,002.52","4,956.45","5,000.62"
02/13/2024,"4,967.94","4,971.30","4,920.31","4,953.17"
02/12/2024,"5,026.83","5,048.39","5,016.83","5,021.84"
02/09/2024,"5,004.17","5,030.06","5,000.34","5,026.61"
02/08/2024,"4,995.16","5,000.40","4,987.09","4,997.91"
02/07/2024,"4,973.05","4,999.89","4,969.05","4,995.06"
02/06/2024,"4,950.16","4,957.77","4,934.88","4,954.23"
02/05/2024,"4,957.19","4,957.19","4,918.09","4,942.81"
02/02/2024,"4,916.06","4,975.29","4,907.99","4,958.61"
02/01/2024,"4,861.11","4,906.97","4,853.52","4,906.19"
01/31/2024,"4,899.19","4,906.75","4,845.15","4,845.65"
01/30/2024,"4,925.89","4,931.09","4,916.27","4,924.97"
01/29/2024,"4,892.95","4,929.31","4,887.40","4,927.93"
01/26/2024,"4,888.91","4,906.69","4,881.47","4,890.97"
01/25/2024,"4,886.66","4,898.15","4,869.34","4,894.16"
01/24/2024,"4,888.56","4,903.68","4,865.94","4,868.55"
01/23/2024,"4,856.80","4,866.48","4,844.37","4,864.60"
01/22/2024,"4,853.42","4,868.41","4,844.05","4,850.43"
01/19/2024,"4,796.28","4,842.07","4,785.87","4,839.81"
01/18/2024,"4,760.10","4,785.79","4,740.57","4,780.94"
01/17/2024,"4,739.13","4,744.23","4,714.82","4,739.21"
01/16/2024,"4,772.35","4,782.34","4,747.12","4,765.98"
01/12/2024,"4,791.18","4,802.40","4,768.98","4,783.83"
01/11/2024,"4,792.13","4,798.50","4,739.58","4,780.24"
01/10/2024,"4,759.94","4,790.80","4,756.20","4,783.45"
01/09/2024,"4,741.93","4,765.47","4,730.35","4,756.50"
01/08/2024,"4,703.70","4,764.54","4,699.82","4,763.54"
01/05/2024,"4,690.57","4,721.49","4,682.11","4,697.24"
01/04/2024,"4,697.42","4,726.78","4,687.53","4,688.68"
01/03/2024,"4,725.07","4,729.29","4,699.71","4,704.81"
01/02/2024,"4,745.20","4,754.33","4,722.67","4,742.83"
